Year,Participation,.
2003,23.1,Men
2004,24.6,Men
2005,23.1,Men
2006,23.9,Men
2007,21.4,Men
2008,21.1,Men
2009,20.8,Men
2010,17.9,Men
2011,17.2,Men
2012,17.5,Men
2013,17.3,Men
2014,18.0,Men
2015,18.2,Men
2016,17.0,Men
2017,15.2,Men
2018,16.2,Men
2003,29.2,Women
2004,30.6,Women
2005,30.6,Women
2006,28.8,Women
2007,28.1,Women
2008,26.5,Women
2009,27.3,Women
2010,24.0,Women
2011,22.7,Women
2012,23.7,Women
2013,23.4,Women
2014,24.3,Women
2015,23.9,Women
2016,21.8,Women
2017,22.0,Women
2018,18.8,Women